story_cluster_id,story_cluster_hint,canonical_event_type,event_name,event_location,event_date_reference,rumor_status,event_phase,rhetorical_frame_primary,newspaper_title,date,publication_place,news_origin_norm,transmission_formula,transmission_medium,probable_chain,source_criticism_note,needs_review,review_reason
GREEK_INDEPENDENCE_1829_325E4A,GREEK_INDEPENDENCE_1829,diplomacy,Greek Independence Recognition Negotiations,Constantinople,1829,reported,reported_account,diplomatic_negotiation,Morning Post,Thursday 06 August 1829,London,Madrid,,unknown,Madrid -> London,"The text is fragmentary and lacks explicit source attribution or confirmation, indicating a reported diplomatic development rather than confirmed fact.",True,"Text is incomplete and partially illegible, requiring further verification and contextualization."
GREEK_INTERNAL_AFFAIRS_1832_392144,GREEK_INTERNAL_AFFAIRS_1832,political_development,Dual governments and Bavarian prince designated king in Greece,Greece,1832,reported,reported_account,neutral_information,Gazette de France,1832-04-24,Paris,Greece,,unknown,,"The information is presented as a report without explicit official confirmation or named sources, indicating moderate certainty but not confirmed status.",False,
GREEK_WAR_OF_INDEPENDENCE_1822_F38CDD,GREEK_WAR_OF_INDEPENDENCE_1822,diplomacy,Ottoman order to negotiate armistice with Greek leaders in Epirus and Thessaly,Epire and Thessalie,3 novembre 1822,reported,reported_account,diplomatic_negotiation,Journal du Commerce,1822-11-14,Paris,Berne,"Berne , 3 novembre.",unknown,Berne -> Paris,"The information is a dated report from Berne relayed in a French newspaper, indicating an order by Chur»chid-Pacha to negotiate armistice, but lacks official confirmation.",False,
GREEK_WAR_OF_INDEPENDENCE_1829_1BAC70,GREEK_WAR_OF_INDEPENDENCE_1829,military_movement,"Greek struggles for independence under Generals Church, Kareskaki, Lord Cochrane, and Colonel Fabvier",Turkey and Greece,1829,reported,reported_account,military_strategic,English Chronicle and Whitehall Evening Post,Saturday 04 July 1829,London,Salisbury,,unknown,Salisbury -> London,The information is a general news report on ongoing Greek military actions without explicit source attribution or confirmation.,False,
GREEK_WAR_OF_INDEPENDENCE_1824_6976EA,GREEK_WAR_OF_INDEPENDENCE_1824,military_movement,Greek expedition repelled,Salonica,December 1823 - January 1824,reported,reported_account,military_strategic,Journal du Commerce,1824-01-17,Paris,Constantinople,"Les dernières lettres «le Sures du tô , et «le BilogHa du ç décembre , nous apprennent",letter,Constantinople -> Paris,"The information is based on letters received and reported rumors without official confirmation, indicating moderate uncertainty.",False,
GREEK_INDEPENDENCE_DIPLOMACY_1829_B51A57,GREEK_INDEPENDENCE_DIPLOMACY_1829,diplomacy,Greek territorial proposals,Greece,"Nov. 23, 1829",reported,reported_account,diplomatic_negotiation,New Times (London),Wednesday 25 November 1829,London,London,"LONDON, Monday, Nov. 23 ... relative to Greece.",unknown,France -> London,"The information is a secondhand report from London citing proposals from the French Cabinet, without official confirmation.",False,
GREEK_WAR_OF_INDEPENDENCE_1822_F38CDD,GREEK_WAR_OF_INDEPENDENCE_1822,political_development,Favorable Turn of Affairs in Morea,Morée,décembre,reported,reported_account,unclear,"Feuille Daffiches, Annonces Et Avis Divers De Valenciennes",1822-12-28,Unknown,Argos,on dit que les affaires ont pris en Morée une tournure favorable pour les Grecs,unknown,"Argos -> Feuille Daffiches, Annonces Et Avis Divers De Valenciennes","The information is presented as hearsay ('on dit'), indicating it is a reported rumor rather than confirmed fact.",False,
GREEK_LOAN_1824_9DF4B1,GREEK_LOAN_1824,finance,Greek loan remittances delay,Zante,1824,reported,reported_account,financial_state_building,Leicester Chronicle,1824-08-21,Leicestershire,Zante,According to the last accounts from Zante,unknown,Zante -> Leicestershire,"The information is based on secondhand accounts from Zante cited in a newspaper, indicating a reported but unconfirmed status.",False,
MISSOLONGHII_FALL_APRIL_1826_2810A2,MISSOLONGHI_FALL_APRIL_1826,atrocity,Fall of Missolonghi and massacre,Missolonghi,night du 22 au 25 avril,reported,reported_account,ottoman_barbarity,Le Drapeau Blanc / Par A Martainville Et Plusieurs Hommes De Lettres,1826-06-06,Paris,Constantinople,"On a, ajoute le correspondant, envoyé 3,100 paires d'oreilles a Constantinople.",letter,Missolonghi -> Constantinople -> Paris,"The information is based on a letter cited by a correspondent, indicating reported but unconfirmed news with possible bias.",False,
GREEK_WAR_INDEPENDENCE_1821_21710F,GREEK_WAR_INDEPENDENCE_1821,political_development,Greek insurgents request amnesty and cessation of massacres,Vallachie (Wallachia),21 juin,reported,reported_account,christian_suffering,Niederrheinischer Kurier,1821-07-19,Strasbourg,Constantinople,"Des lettres récentes de Constantinople, annoncent la cessation des massacres.",letter,Constantinople -> Bucharest -> Strasbourg,"The information is based on recent letters and a secondary newspaper source, indicating reported but not confirmed news.",False,
GREEK_LOAN_1824_9DF4B1,GREEK_LOAN_1824,finance,"Greek Loan of 800,000/. Stock",,1824-02-21,reported,reported_account,financial_state_building,English Chronicle And Whitehall Evening Post,1824-02-21,London,France,projected loan for the Greeks appeared in an Evening Opposition paper of yesterday,newspaper_reprint,France -> London,"The information is based on a newspaper report citing another newspaper source, indicating it is a secondary report rather than official confirmation.",False,
GREEK_WAR_OF_INDEPENDENCE_1827_FB2564,GREEK_WAR_OF_INDEPENDENCE_1827,political_development,Dissolution of the National Assembly of Greece and government removal to Romania,Romania,1827,reported,reported_account,diplomatic_negotiation,Durham Chronicle,1827-07-14,Durham,London,,unknown,London -> Durham,The information is a newspaper report citing the NDON GAZETTE with some uncertainty indicated by conditional language and probable forces involved.,False,
MISSOLONGHII_FALL_APRIL_1826_2810A2,MISSOLONGHI_FALL_APRIL_1826,fall,Fall of Missolonghi,Missolonghi,23 April 1826,reported,reported_account,military_strategic,Le Mémorial Bordelais : Feuille Politique Et Littéraire,1826-05-23,Bordeaux,Corfu,"Un bâtiment grec arrivé à Corfou, le 12 avril, a apporté la nouvelle de la chute de Missolonghi",ship,Missolonghi -> Corfu -> Milan -> Bordeaux,"The information is based on news brought by a Greek ship to Corfu and letters from Corfu, cited by a Milan newspaper and republished in Bordeaux; details are awaited and some reports remain unconfirmed.",False,
GREEK_NAVAL_OPERATIONS_1829_5E4A1A,GREEK_NAVAL_OPERATIONS_1829,military_movement,Greek naval flotilla under Admiral Miaulis at Zante,Zante,1829,reported,reported_account,military_strategic,Messager Des Chambres,1829-04-17,Unknown,Zante,"Le capitaine autrichien , porteur de ccs nouveau a lt teste , a vu k Xante la flottille grecque sous",unknown,Zante -> Xante,"The information is presented as reported news with some uncertainty, indicated by phrases like 'On assure que', lacking official confirmation.",False,
NAVARINO_BATTLE_1827_CE0A21,NAVARINO_BATTLE_1827,political_development,Aftermath of the Battle of Navarino,Navarino,unclear,reported,reported_account,diplomatic_negotiation,Evening Mail,Friday 06 November 1829,London,Constantinople,,unknown,Constantinople -> London,The information is a reported account reflecting contemporary opinions without official confirmation.,False,
GREEK_INDEPENDENCE_NEGOTIATIONS_1828_708E62,GREEK_INDEPENDENCE_NEGOTIATIONS_1828,diplomacy,Turkish agreement to Greek independence,Greece,"April 16, 1828",reported,reported_account,diplomatic_negotiation,Leeds Intelligencer,Thursday 17 April 1828,Yorkshire,Greece,Hf intelligence from Greece gives us reason to hope,unknown,Greece -> London,"The information is based on intelligence reports and expresses hope rather than confirmed facts, indicating uncertainty.",False,
GREEK_WAR_OF_INDEPENDENCE_1822_F38CDD,GREEK_WAR_OF_INDEPENDENCE_1822,military_movement,Greek advances in Macedonia and Attica,"Macedonia, Athens",2 avril 1822,reported,reported_account,military_strategic,Gazette de France,1822-05-06,Paris,Serres,On apprend de la côte que les bâtimens grees y reparaissent de toutes parts,unknown,Serres -> Gazette de France,"The information is presented as received news with some uncertainty and presumption, lacking official confirmation.",False,
UNCLEAR_1822_A07F77,,unclear,,,,editorial_comment,editorial_comment,neutral_information,London Packet And New Lloyds Evening Post,1822-09-18,London,London,,unknown,London,The text is an editorial comment highlighting the speculative nature of reports on Greek or Turkish victories without presenting confirmed information.,False,
GREEK_WAR_INDEPENDENCE_1821_21710F,GREEK_WAR_INDEPENDENCE_1821,political_development,Divergence between Theodore Sulized Władimisko and Alexander Ypsilanti,"Valachie (Wallachia), Moldavie (Moldavia), Bucharest",17 and 18 March 1821,reported,reported_account,unclear,Le Courrier Français,1821-05-25,Paris,Seville,,unknown,Seville -> Carlsruhe -> Paris,"The information is based on reports from Carlsruhe citing proclamations and political observations, without official confirmation.",False,
GREEK_WAR_OF_INDEPENDENCE_1826_C06203,GREEK_WAR_OF_INDEPENDENCE_1826,political_development,Greek War of Independence ongoing struggle,Greek Continent,1826-06-28,reported,reported_account,humanitarian_urgency,Hereford Journal,1826-06-28,Herefordshire,London,,unknown,Greek Continent -> London,The information is a general report from London referencing ongoing Greek resistance without explicit source or confirmation.,False,
GREEK_WAR_OF_INDEPENDENCE_1824_6976EA,GREEK_WAR_OF_INDEPENDENCE_1824,military_movement,Greek military operations in Albania and Crete,"Albania, Crete",1824,reported,reported_account,military_strategic,"Journal Du Gard : Politique, Administratif Et Littéraire [Puis Administratif, Judiciaire, Commercial, Dagriculture, Sciences Et Arts]",1824-06-23,Unknown,Hydra,,unknown,,"The information is presented as news report without explicit official confirmation or named sources, indicating moderate reliability.",False,
GREECE_UNCLEAR_1827_6A56D7,,unclear,,Greece,,reported,reported_account,humanitarian_urgency,London Packet and New Lloyd's Evening Post,Monday 23 July 1827,London,Dublin,,unknown,Dublin -> London,"The information reflects concerns and inquiries rather than confirmed facts, indicating a reported but uncertain situation.",False,
GREEK_INDEPENDENCE_DIPLOMACY_1830_C3FB4E,GREEK_INDEPENDENCE_DIPLOMACY_1830,diplomacy,Proposition for elevating Prince Leopold to the throne of Greece,Greece,1830-01-18,reported,reported_account,diplomatic_negotiation,Sherborne Mercury,1830-01-18,Dorset,Paris,Postscript ... connection with some diplomatist engaged in the Greek negociation,private_correspondence,St. Petersburgh -> Paris -> Dorset,"Information is based on a private communication from a diplomatist and indicates the answer from St. Petersburgh has not yet arrived, showing uncertainty and lack of official confirmation.",False,
GREEK_INDEPENDENCE_1827_D13FC2,GREEK_INDEPENDENCE_1827,political_development,Greek independence prospects 1827,Peloponnesus,"April 21, 1827",editorial_comment,editorial_comment,humanitarian_urgency,Public Ledger and Daily Advertiser,Thursday 26 April 1827,London,Paris,,unknown,Paris -> London,The text expresses hopeful editorial commentary on Greek independence prospects without reporting confirmed news or official dispatches.,False,
GREEK_WAR_OF_INDEPENDENCE_1823_52BD10,GREEK_WAR_OF_INDEPENDENCE_1823,military_movement,Greek arms supplies and Lord Strangford's mission,Candie (Crete),mid-January 1823,reported,reported_account,military_strategic,Le Drapeau Blanc / Par A Martainville Et Plusieurs Hommes De Lettres,1823-03-07,Paris,Corfu,"Lord Strangford, qui s'est embarqué à Corfou à bord d'une frégate anglaise",ship,Corfu -> Paris,"The information is based on reported accounts and presumed facts without official confirmation, reflecting a pro-Greek ultra-royalist French newspaper perspective.",False,
GREEK_WAR_OF_INDEPENDENCE_1827_FB2564,GREEK_WAR_OF_INDEPENDENCE_1827,atrocity,Atrocities in the Greek War of Independence,Greece,1827,reported,reported_account,diplomatic_negotiation,Durham County Advertiser,Saturday 21 July 1827,Durham,Madrid,"The Gaiette France, in an article from Madrid, states",newspaper_reprint,Madrid -> Durham,"Information is based on a newspaper article reprinting statements from another newspaper in Madrid, indicating secondhand reporting without official confirmation.",False,
GREEK_INDEPENDENCE_1822_6DA788,GREEK_INDEPENDENCE_1822,political_development,Greek Independence Preference over Russian Acquisition,Greece,1822-10-31,editorial_comment,editorial_comment,diplomatic_negotiation,Morning Chronicle,1822-10-31,London,London,,unknown,London -> London,The text is an editorial comment expressing a political stance rather than reporting confirmed news.,False,
MISSOLONGHII_SIEGE_1826_0CD01D,MISSOLONGHI_SIEGE_1826,relief,Relief efforts and military situation around Missolonghi,Missolonghi,March-May 1826,reported,reported_account,humanitarian_urgency,"Feuille Daffiches, Annonces Et Avis Divers De Valenciennes",1826-06-15,Unknown,Rio Janeiro,"Des lettres particulières arrivées de Rio Janeiro, en date du 30 mars, annoncent",letter,Corfou -> Rio Janeiro -> Paris,"Information is based on letters and reports received by committees and newspapers, with some rumors noted but no official confirmation.",False,
GREECE_UNCLEAR_1825_2C591C,,unclear,,Greece,,editorial_comment,editorial_comment,neutral_information,Hampshire Telegraph,Monday 21 November 1825,Hampshire,Vienna,,unknown,Vienna -> Hampshire,"The information is an editorial comment from a secondary newspaper citing another newspaper, with no new intelligence provided.",False,
GREEK_INDEPENDENCE_DIPLOMACY_1824_BC241F,GREEK_INDEPENDENCE_DIPLOMACY_1824,diplomacy,American Agent's Mission to Greek Government,Leghorn,November 1824,reported,reported_account,diplomatic_negotiation,Morning Herald (London),Monday 22 November 1824,London,Livorno,,unknown,Leghorn -> London,"The information is based on a partial newspaper excerpt citing Dutch papers and mentions an American agent's arrival, but lacks official confirmation.",False,
GREEK_INDEPENDENCE_1830_F81286,GREEK_INDEPENDENCE_1830,political_development,Erection of Greece into an independent Sovereignty,Greece,1830,reported,reported_account,ottoman_barbarity,Morning Post,Friday 07 May 1830,London,Constantinople,Extract of a. private letter from Constantinople,private_correspondence,Constantinople -> London,"Information is based on a private letter extract, indicating a secondhand report without official confirmation.",False,
GREEK_INDEPENDENCE_DIPLOMACY_1828_A77F38,GREEK_INDEPENDENCE_DIPLOMACY_1828,diplomacy,Sultan's adhesion to the treaty of London,Poros,22d of September,reported,reported_account,diplomatic_negotiation,The Times,1828-10-24,London,Smyrna,"It is stated that the Philomel, S.W. arrived at Poros on the 22d of September from Smyrna",ship,Smyrna -> Poros -> London,The information is reported as arriving via a ship from Smyrna but lacks explicit official confirmation.,False,
GREEK_NAVAL_OPERATIONS_1825_C3BE13,GREEK_NAVAL_OPERATIONS_1825,naval_operation,Greek corsairs attack near Damiette,Damiette,13 (day mentioned for capitan-pacha arrival),reported,reported_account,military_strategic,Journal des débats politiques et littéraires - Page2,Unknown,Unknown,Alexandria,"on fit courir le bruit que le vice-gouverneur, au lieu de se diriger du côté où on entendoit la canonnade,",oral_report,Alexandria -> France,The information is based on reported rumors and official reactions but lacks explicit confirmation; thus it remains a reported account.,False,
GREEK_WAR_OF_INDEPENDENCE_1829_1BAC70,GREEK_WAR_OF_INDEPENDENCE_1829,military_movement,Turkish re-entry into Livadia and Greek military response,Livadia,1829-03-12,reported,reported_account,military_strategic,Le Mémorial Bordelais,1829-03-12,Bordeaux,Livadia,On apprend de Livadia que les Turcs chassés d'abord par les Grecs,unknown,Livadia -> Bordeaux,"The information is presented as received news from Livadia without official confirmation, indicating a reported account rather than confirmed fact.",False,
GREEK_WAR_OF_INDEPENDENCE_1823_52BD10,GREEK_WAR_OF_INDEPENDENCE_1823,military_movement,Greek Committee Decision to Send Siege Artillery and Engineers,Greece,1823,reported,reported_account,military_strategic,Le Mémorial Bordelais : Feuille Politique Et Littéraire,1823-11-12,Bordeaux,London,,unknown,Greece -> London,"The information is based on a reported decision by the Greek Committee in London, without explicit official confirmation or multiple sources.",False,
GREEK_INDEPENDENCE_1830_F81286,GREEK_INDEPENDENCE_1830,political_development,Acknowledgement of Greek Independence by the Porte,Greece,May 1830,confirmed,confirmation,diplomatic_negotiation,Public Ledger and Daily Advertiser,Thursday 27 May 1830,London,Paris,confirmed by the French papers received on Monday,newspaper_reprint,Paris -> London,"The information is presented as confirmed by French newspapers, indicating a reliable secondary source but not an official Ottoman declaration.",False,
GREEK_DIPLOMACY_1825_8611BF,GREEK_DIPLOMACY_1825,political_development,Diplomatic discussions on Greek affairs,London,28 septembre 1825,reported,reported_account,diplomatic_negotiation,L'Abeille de la Moselle,Unknown,Unknown,London,"nous sommes informés, par des personnes à même d'ètre bien instruites",oral_report,Greece -> London,"The information is based on reports from deputies and informed persons but lacks official confirmation, indicating a reported status.",False,
MISSOLONGHII_SIEGE_1825_7814A1,MISSOLONGHI_SIEGE_1825,military_movement,Sortie of Missolonghi Garrison August 31 1825,Missolonghi,31 août,reported,reported_account,military_strategic,Gazette de France,Unknown,Paris,Missolonghi,,unknown,Missolonghi -> Paris,"The report narrates a military action without explicit source attribution or official confirmation, indicating a news report rather than confirmed fact.",False,
GREEK_INDEPENDENCE_1829_325E4A,GREEK_INDEPENDENCE_1829,diplomacy,Recognition of Greek Independence,"Sea of Marmora, Constantinople",1829,reported,reported_account,diplomatic_negotiation,Evening Mail,Monday 06 April 1829,London,Constantinople,,unknown,Constantinople -> London,"The information is a partial report from a newspaper with no explicit source or confirmation, thus it remains unconfirmed news.",False,
GREEK_INDEPENDENCE_1828_056C05,GREEK_INDEPENDENCE_1828,political_development,Greek independence uncertainty,Greece,1828,reported,reported_account,diplomatic_negotiation,London Evening Standard,Friday 06 June 1828,London,Corfu,,unknown,Corfu -> London,"The information reflects uncertainty and speculation about Greece's independence arrangements, cited from a newspaper source without official confirmation.",False,
GREEK_INDEPENDENCE_1827_D13FC2,GREEK_INDEPENDENCE_1827,political_development,Greek Enthusiasm for Independence,Samos,1827,editorial_comment,editorial_comment,revolutionary_disorder,Tyne Mercury; Northumberland and Durham and Cumberland Gazette,Tuesday 12 June 1827,Northumberland,Greece,,unknown,Greece -> Northumberland,"The text is a public exhortation expressing confidence in Greek unity and independence, lacking direct reportage or official confirmation.",False,
GREEK_NAVAL_OPERATIONS_1822_06F7C4,GREEK_NAVAL_OPERATIONS_1822,naval_operation,Greek capture of Turkish fleet in Gulf of Lepanto,golfe de Lépunte,4 April 1822,reported,reported_account,military_strategic,Journal Du Cher,1822-04-13,Unknown,Augsburg,"Une dépêche télégraphique arrivée aujourd'hui, annonce que tout est parfaitement tranquille dans cette ville.",telegraph,Augsbourg -> Journal Du Cher,"The information is based on reports and a telegraphic dispatch cited from another newspaper, indicating a reported but not officially confirmed event.",False,
MISSOLONGHII_FALL_APRIL_1826_2810A2,MISSOLONGHI_FALL_APRIL_1826,fall,Fall of Missolonghi,Missolonghi,"May 17, 1826",reported,reported_account,military_strategic,Manchester Courier,Saturday 20 May 1826,Unknown,London,"Londo.;, Wednesday Evening, May 17.",unknown,Missolonghi -> London,"The report is based on official intelligence received in London but does not provide direct official confirmation, indicating a reported account rather than confirmed fact.",False,
GREEK_INDEPENDENCE_1822_6DA788,GREEK_INDEPENDENCE_1822,political_development,Proclamation of Greek Independence and Formation of Provisional Government,Greece,April 1822,reported,reported_account,christian_suffering,English Chronicle and Whitehall Evening Post,Tuesday 30 April 1822,London,Greece,A private letter from Greece states,letter,Greece -> London,"Information is based on a private letter reported in a London newspaper, indicating a secondhand report without official confirmation.",False,
UNCLEAR_1822_A07F77,,unclear,,,,editorial_comment,editorial_comment,humanitarian_urgency,Public Ledger and Daily Advertiser,Saturday 14 September 1822,London,Greece,,unknown,Greece -> Germany -> London,The text is an editorial comment referencing another journal and expressing doubt rather than reporting confirmed news.,False,
MISSOLONGHII_FALL_MAY_1829_A101D1,MISSOLONGHI_FALL_MAY_1829,fall,Fall of Missolonghi,Missolonghi,29 May 1829,reported,reported_account,military_strategic,Lécho Français,1829-06-16,Paris,Corfu,"Des nouvelles de Corfou, à la date du 29 mai, parlent de la soumission de Missolonghi aux Grecs",unknown,Corfu -> Paris,"The information is presented as news received from Corfu but lacks official confirmation, indicating a reported account rather than confirmed fact.",False,
UNCLEAR_1822_A07F77,,unclear,,,,unclear,unclear,unclear,Gazette de France,1822-07-31,Paris,Leipzig,,unknown,Leipsick -> Paris,"The text is fragmentary and incomplete, providing no clear news content or source attribution, thus the information status is unclear.",True,"Text is incomplete and fragmentary, making interpretation and classification uncertain. | Unclear rumor status and event phase."
PHILHELLENISM_FUNDRAISING_1826_03B651,PHILHELLENISM_FUNDRAISING_1826,finance,Philhellenic Fundraising in Paris,Paris,1826,reported,reported_account,humanitarian_urgency,Le Constitutionnel,1826-04-12,Paris,Paris,"par l'intermédiaire de M. Poul- lain de de la Dreuc, une somme de 4300 fr.",letter,Erbelfeld -> Paris,"The information is based on reported subscriptions and donations received by the Greek committee in Paris, indicating ongoing fundraising efforts rather than confirmed battlefield events.",False,
GREEK_DIPLOMACY_1832_419123,GREEK_DIPLOMACY_1832,diplomacy,Greek Deputation to Munich,Munich,1832,reported,reported_account,diplomatic_negotiation,Journal politique et littéraire de Toulouse et de la Haute-Garonne,1832-08-03,Unknown,Trieste,On attend à Trieste une députation de la Grèce qui doit se rendre à Munich pour remercier S. M. le,unknown,Greece -> Trieste -> Munich,"The information is a report of an expected Greek deputation to Munich, indicating planned diplomatic activity but lacking official confirmation.",False,
UNCLEAR_1822_A07F77,,unclear,,,,editorial_comment,editorial_comment,humanitarian_urgency,Public Ledger And Daily Advertiser,1822-09-14,London,Greece,,unknown,Greece -> Germany -> London,"The text is a partial editorial comment referencing a German journal, expressing doubt and providing no confirmed facts.",True,"Text is fragmentary and partially illegible, limiting certainty and clarity of details."
GREEK_WAR_OF_INDEPENDENCE_1827_FB2564,GREEK_WAR_OF_INDEPENDENCE_1827,military_movement,Reinforcements to Ibrahim at Patras,"Patras, Morée",1827,reported,reported_account,military_strategic,Journal du Commerce,1827-07-13,Paris,Naples,,unknown,Napoli -> Paris,"The information is presented as reported news with some hearsay ('dit-on'), lacking official confirmation.",False,
GREEK_NAVAL_OPERATIONS_1828_8D15A5,GREEK_NAVAL_OPERATIONS_1828,naval_operation,Naval engagement near Mytilène and Dardanelles,"Mytilène, Dardanelles, cap Baha","12 (unclear month, presumably July 1828)",reported,reported_account,military_strategic,Messager Des Chambres : Journal Des Villes Et Des Campagnes,1828-07-23,Unknown,Lesbos,,unknown,Lesbos -> France,The report narrates a naval engagement involving Greek and Turkish ships without explicit source attribution or official confirmation.,False,
GREEK_LOAN_1824_9DF4B1,GREEK_LOAN_1824,finance,"Greek Loan of 800,000 pounds sterling",London,ij décembre dernier,reported,reported_account,financial_state_building,Le Drapeau Blanc / Par A Martainville Et Plusieurs Hommes De Lettres,1824-02-23,Paris,London,,unknown,Greece -> London,"The information combines financial details with a reported violent incident; the financial loan is stated as granted, while the violent event is reported without official confirmation.",False,
GREEK_INDEPENDENCE_DIPLOMACY_1829_B51A57,GREEK_INDEPENDENCE_DIPLOMACY_1829,diplomacy,Greek independence proposals to the Porte,Greece,"November 20, 1829",reported,reported_account,diplomatic_negotiation,Bell's Weekly Messenger,Sunday 22 November 1829,London,London,,unknown,France -> London,"The information is a report of proposals to the Ottoman Porte, attributed to the French Cabinet, but lacks official confirmation.",False,
GREECE_UNCLEAR_1827_6A56D7,,unclear,,Greece,,reported,reported_account,humanitarian_urgency,Evening Mail,Monday 23 July 1827,London,London,,unknown,Greece -> London,"The text is fragmentary and vague, presenting an anxious inquiry into the situation without official confirmation or clear sourcing.",True,"Text is incomplete and partially illegible, limiting certainty and requiring further context for accurate classification."
GREEK_WAR_OF_INDEPENDENCE_1824_6976EA,GREEK_WAR_OF_INDEPENDENCE_1824,military_movement,Greek armies' progress,Greece,6th November 1824,reported,reported_account,humanitarian_urgency,Fife Herald,Thursday 18 November 1824,Fife,Genoa,"The following extract o a f a letter from the Agent to Lloyd's at Genoa, dated 6th November",letter,Greece -> Genoa -> Fife,"Information is based on a letter from an agent to Lloyd's at Genoa, indicating a secondhand report rather than official confirmation.",False,
GREEK_WAR_OF_INDEPENDENCE_1825_446895,GREEK_WAR_OF_INDEPENDENCE_1825,military_movement,Greek military operations July 1825,"Napoli di Romanie, Missolunghi, Athènes, Salona, Corinthe, Péloponèse, île de Candie, Tripolitza",1er au 13 juillet,reported,reported_account,military_strategic,Gazette de France,Unknown,Paris,Nafplio,"La Chronique grecque, qui n'avait pu paraître pendant dix-huit jours, annonce que",newspaper_reprint,Nafplio -> Paris,"The information is a reported account from a Greek chronicle reprinted in a French newspaper, indicating moderate reliability but lacking official confirmation.",False,
